Nâng cấp bắt đầu: 10:39:18_25-03-2022
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/modules/recreate_mod.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/modules/setup.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/modules/show.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/modules/vmodule.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/linktags.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/metatags.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/pagetitle.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/robots.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/rpc.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/seotools/sitemapPing.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs_act.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs_add.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs_del.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/cronjobs_edit.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/ftp.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/language.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/plugin.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/security.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/smtp.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/system.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/settings/variables.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/checkchmod.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/logs.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/logs_del.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/notification.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/php_info_configuration.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/php_info_environment.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/php_info_modules.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/php_info_variables.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/siteinfo/system_info.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/activatetheme.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/block_change_show.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/block_config.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/block_content.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/block_outgroup.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_change_active.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_change_order.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_change_order_group.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_change_pos.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_del.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_del_group.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_func.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/blocks_reset_order.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/config.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/deletetheme.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/getfile.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/loadblocks.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/loadposition.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/package_theme_module.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/settings.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/setuplayout.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/sort_order.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/xcopyblock.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/themes/xcopyprocess.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/addlogo.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/config.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/createfolder.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/createimg.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/cropimg.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/delfolder.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/delimg.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/dlimg.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/download.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/folderlist.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/imglist.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/moveimg.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/recreatethumb.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/renamefolder.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/renameimg.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/rotateimg.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/thumbconfig.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/upload.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/upload/uploadconfig.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/webtools/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/webtools/checkupdate.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/webtools/clearsystem.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/webtools/config.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/webtools/deleteupdate.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/webtools/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/webtools/getupdate.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/webtools/main.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/webtools/statistics.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/zalo/admin.menu.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/zalo/functions.php | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/zalo/index.html | SUCCESS
10:39:42_25-03-2022 | 116.97.53.42 | Di chuyển file admin/zalo/main.php | SUCCESS
